They do not!	They do to!
They do to!	I hope so.
I hope so.	She okay?
She okay?	Let's go.
Let's go.	Wow
Wow	Okay -- you're gonna need to learn how to lie.
Okay -- you're gonna need to learn how to lie.	No
No	I'm kidding.  You know how sometimes you just become this "persona"?  And you don't know how to quit?
I'm kidding.  You know how sometimes you just become this "persona"?  And you don't know how to quit?	Like my fear of wearing pastels?
Like my fear of wearing pastels?	The "real you".
The "real you".	What good stuff?
What good stuff?	I figured you'd get to the good stuff eventually.
I figured you'd get to the good stuff eventually.	Thank God!  If I had to hear one more story about your coiffure...
Thank God!  If I had to hear one more story about your coiffure...	Me.  This endless ...blonde babble. I'm like, boring myself.
Me.  This endless ...blonde babble. I'm like, boring myself.	What crap?
What crap?	do you listen to this crap?
do you listen to this crap?	No...
No...	Then Guillermo says, "If you go any lighter, you're gonna look like an extra on 90210."
Then Guillermo says, "If you go any lighter, you're gonna look like an extra on 90210."	You always been this selfish?
You always been this selfish?	But
But	Then that's all you had to say.
Then that's all you had to say.	Well, no...
Well, no...	You never wanted to go out with 'me, did you?
You never wanted to go out with 'me, did you?	I was?
I was?	I looked for you back at the party, but you always seemed to be "occupied".
I looked for you back at the party, but you always seemed to be "occupied".	Tons
Tons	Have fun tonight?
Have fun tonight?	I believe we share an art instructor
I believe we share an art instructor	You know Chastity?
You know Chastity?	Looks like things worked out tonight, huh?
Looks like things worked out tonight, huh?	Hi.
Hi.	Who knows?  All I've ever heard her say is that she'd dip before dating a guy that smokes.
Who knows?  All I've ever heard her say is that she'd dip before dating a guy that smokes.	So that's the kind of guy she likes? Pretty ones?
So that's the kind of guy she likes? Pretty ones?	Lesbian?  No. I found a picture of Jared Leto in one of her drawers, so I'm pretty sure she's not harboring same-sex tendencies.
Lesbian?  No. I found a picture of Jared Leto in one of her drawers, so I'm pretty sure she's not harboring same-sex tendencies.	She's not a...
She's not a...	I'm workin' on it. But she doesn't seem to be goin' for him.
I'm workin' on it. But she doesn't seem to be goin' for him.	I really, really, really wanna go, but I can't.  Not unless my sister goes.
I really, really, really wanna go, but I can't.  Not unless my sister goes.	Sure have.
Sure have.	Eber's Deep Conditioner every two days. And I never, ever use a blowdryer without the diffuser attachment.
Eber's Deep Conditioner every two days. And I never, ever use a blowdryer without the diffuser attachment.	How do you get your hair to look like that?
How do you get your hair to look like that?	You're sweet.
You're sweet.	You have my word.  As a gentleman
You have my word.  As a gentleman	I counted on you to help my cause. You and that thug are obviously failing. Aren't we ever going on our date?
I counted on you to help my cause. You and that thug are obviously failing. Aren't we ever going on our date?	You got something on your mind?
You got something on your mind?	Where?
Where?	There.
There.	Well, there's someone I think might be --
Well, there's someone I think might be --	How is our little Find the Wench A Date plan progressing?
How is our little Find the Wench A Date plan progressing?	Forget French.
Forget French.	That's because it's such a nice one.
