They do not!	They do to!
They do to!	I hope so.
I hope so.	She okay?
She okay?	Let's go.
Let's go.	Wow
Wow	Okay -- you're gonna need to learn how to lie.
Okay -- you're gonna need to learn how to lie.	No
No	I'm kidding.  You know how sometimes you just become this "persona"?  And you don't know how to quit?
I'm kidding.  You know how sometimes you just become this "persona"?  And you don't know how to quit?	Like my fear of wearing pastels?
Like my fear of wearing pastels?	The "real you".
The "real you".	What good stuff?
What good stuff?	I figured you'd get to the good stuff eventually.
I figured you'd get to the good stuff eventually.	Thank God!  If I had to hear one more story about your coiffure...
Thank God!  If I had to hear one more story about your coiffure...	Me.  This endless ...blonde babble. I'm like, boring myself.
Me.  This endless ...blonde babble. I'm like, boring myself.	What crap?
What crap?	do you listen to this crap?
do you listen to this crap?	No...
No...	Then Guillermo says, "If you go any lighter, you're gonna look like an extra on 90210."
Then Guillermo says, "If you go any lighter, you're gonna look like an extra on 90210."	You always been this selfish?
You always been this selfish?	But
But	Then that's all you had to say.
Then that's all you had to say.	Well, no...
Well, no...	You never wanted to go out with 'me, did you?
You never wanted to go out with 'me, did you?	I was?
I was?	I looked for you back at the party, but you always seemed to be "occupied".
I looked for you back at the party, but you always seemed to be "occupied".	Tons
Tons	Have fun tonight?
Have fun tonight?	I believe we share an art instructor
I believe we share an art instructor	You know Chastity?
You know Chastity?	Looks like things worked out tonight, huh?
Looks like things worked out tonight, huh?	Hi.
Hi.	Who knows?  All I've ever heard her say is that she'd dip before dating a guy that smokes.
Who knows?  All I've ever heard her say is that she'd dip before dating a guy that smokes.	So that's the kind of guy she likes? Pretty ones?
So that's the kind of guy she likes? Pretty ones?	Lesbian?  No. I found a picture of Jared Leto in one of her drawers, so I'm pretty sure she's not harboring same-sex tendencies.
Lesbian?  No. I found a picture of Jared Leto in one of her drawers, so I'm pretty sure she's not harboring same-sex tendencies.	She's not a...
She's not a...	I'm workin' on it. But she doesn't seem to be goin' for him.
I'm workin' on it. But she doesn't seem to be goin' for him.	I really, really, really wanna go, but I can't.  Not unless my sister goes.
I really, really, really wanna go, but I can't.  Not unless my sister goes.	Sure have.
Sure have.	Eber's Deep Conditioner every two days. And I never, ever use a blowdryer without the diffuser attachment.
Eber's Deep Conditioner every two days. And I never, ever use a blowdryer without the diffuser attachment.	How do you get your hair to look like that?
How do you get your hair to look like that?	You're sweet.
You're sweet.	You have my word.  As a gentleman
You have my word.  As a gentleman	I counted on you to help my cause. You and that thug are obviously failing. Aren't we ever going on our date?
I counted on you to help my cause. You and that thug are obviously failing. Aren't we ever going on our date?	You got something on your mind?
You got something on your mind?	Where?
Where?	There.
There.	Well, there's someone I think might be --
Well, there's someone I think might be --	How is our little Find the Wench A Date plan progressing?
How is our little Find the Wench A Date plan progressing?	Forget French.
Forget French.	That's because it's such a nice one.
That's because it's such a nice one.	I don't want to know how to say that though.  I want to know useful things. Like where the good stores are.  How much does champagne cost?  Stuff like Chat.  I have never in my life had to point out my head to someone.
I don't want to know how to say that though.  I want to know useful things. Like where the good stores are.  How much does champagne cost?  Stuff like Chat.  I have never in my life had to point out my head to someone.	Right.  See?  You're ready for the quiz.
Right.  See?  You're ready for the quiz.	C'esc ma tete. This is my head
C'esc ma tete. This is my head	Let me see what I can do.
Let me see what I can do.	Gosh, if only we could find Kat a boyfriend...
Gosh, if only we could find Kat a boyfriend...	That's a shame.
That's a shame.	Unsolved mystery.  She used to be really popular when she started high school, then it was just like she got sick of it or something.
Unsolved mystery.  She used to be really popular when she started high school, then it was just like she got sick of it or something.	Why?
Why?	Seems like she could get a date easy enough...
Seems like she could get a date easy enough...	The thing is, Cameron -- I'm at the mercy of a particularly hideous breed of loser.  My sister.  I can't date until she does.
The thing is, Cameron -- I'm at the mercy of a particularly hideous breed of loser.  My sister.  I can't date until she does.	Cameron.
Cameron.	No, no, it's my fault -- we didn't have a proper introduction ---
No, no, it's my fault -- we didn't have a proper introduction ---	Forget it.
Forget it.	You're asking me out.  That's so cute. What's your name again?
You're asking me out.  That's so cute. What's your name again?	Okay... then how 'bout we try out some French cuisine.  Saturday?  Night?
Okay... then how 'bout we try out some French cuisine.  Saturday?  Night?	Not the hacking and gagging and spitting part.  Please.
Not the hacking and gagging and spitting part.  Please.	Well, I thought we'd start with pronunciation, if that's okay with you.
Well, I thought we'd start with pronunciation, if that's okay with you.	Can we make this quick?  Roxanne Korrine and Andrew Barrett are having an incredibly horrendous public break- up on the quad.  Again.
Can we make this quick?  Roxanne Korrine and Andrew Barrett are having an incredibly horrendous public break- up on the quad.  Again.	I did.
I did.	You think you ' re the only sophomore at the prom?
You think you ' re the only sophomore at the prom?	I don't have to be home 'til two.
I don't have to be home 'til two.	I have to be home in twenty minutes.
I have to be home in twenty minutes.	All I know is -- I'd give up my private line to go out with a guy like Joey.
All I know is -- I'd give up my private line to go out with a guy like Joey.	Sometimes I wonder if the guys we're supposed to want to go out with are the ones we actually want to go out with, you know?
Sometimes I wonder if the guys we're supposed to want to go out with are the ones we actually want to go out with, you know?	Bianca, I don't think the highlights of dating Joey Dorsey are going to include door-opening and coat-holding.
Bianca, I don't think the highlights of dating Joey Dorsey are going to include door-opening and coat-holding.	Combination.  I don't know -- I thought he'd be different.  More of a gentleman...
Combination.  I don't know -- I thought he'd be different.  More of a gentleman...	Is he oily or dry?
Is he oily or dry?	He practically proposed when he found out we had the same dermatologist. I mean. Dr. Bonchowski is great an all, but he's not exactly relevant party conversation.
He practically proposed when he found out we had the same dermatologist. I mean. Dr. Bonchowski is great an all, but he's not exactly relevant party conversation.	Would you mind getting me a drink, Cameron?
